Branch,Season,Type,Sample,Temp,Turbidity,Colour,pH,Alkalinity,Hardness,Iron,Ammonia,Chloride
Bansbari,Winter,Tap water,Treated,19.20,4.10,2.21,6.90,95.00,92.00,0.10,0.06,65.11
Bansbari,Winter,Tap water,Treated,19.30,2.20,3.15,7.20,201.00,71.00,0.10,0.03,61.22
Bansbari,Winter,Tap water,Treated,18.50,1.60,0.12,7.30,103.00,63.00,0.20,0.08,56.11
Bansbari,Winter,Tap water,Treated,18.20,2.20,0.87,7.10,91.00,72.00,0.40,0.07,61.21
Bansbari,Winter,Tap water,Treated,17.90,1.20,1.24,7.70,96.00,62.00,0.10,0.04,61.12
Bansbari,Winter,Tap water,Treated,18.40,0.90,2.56,6.50,80.00,81.00,0.10,0.03,81.19
Bansbari,Winter,Tap water,Treated,22.20,1.40,1.34,6.90,83.00,95.00,0.30,0.12,11.12
Bansbari,Winter,Tap water,Treated,23.20,2.30,0.76,7.80,94.00,63.00,0.60,3.12,18.13
Bansbari,Winter,Tap water,Treated,24.10,2.10,0.15,7.50,113.00,201.00,0.00,2.01,29.12
Chhetrapati,Winter,Tap water,Treated,21.30,1.20,0.16,8.10,80.00,348.00,0.30,0.15,81.20
Chhetrapati,Winter,Tap water,Treated,23.40,1.90,1.23,7.60,97.00,68.00,0.50,0.86,10.12
Chhetrapati,Winter,Tap water,Treated,21.10,2.10,2.91,8.30,201.00,88.00,0.10,0.31,13.11
Chhetrapati,Winter,Tap water,Treated,21.30,2.10,2.78,8.50,305.00,89.00,0.40,0.44,16.12
Chhetrapati,Winter,Tap water,Treated,20.10,3.10,0.12,8.30,87.00,81.00,0.60,0.11,12.15
Chhetrapati,Winter,Tap water,Treated,19.20,2.10,1.22,5.50,93.00,91.00,0.20,0.31,11.12
Chhetrapati,Winter,Tap water,Treated,18.90,1.10,2.31,7.50,103.00,93.00,0.30,0.21,10.11
Chhetrapati,Winter,Tap water,Treated,21.10,3.10,2.11,7.60,144.00,81.00,0.30,0.86,21.23
Chhetrapati,Winter,Tap water,Treated,22.10,1.10,0.45,8.10,111.00,310.00,0.30,0.14,22.14
Chhetrapati,Winter,Tap water,Treated,19.90,2.20,1.11,8.00,176.00,291.00,0.20,0.31,24.54
Chhetrapati,Winter,Tap water,Treated,21.10,1.20,0.22,8.10,183.00,301.00,0.20,0.32,21.41
Chhetrapati,Winter,Tap water,Treated,23.10,4.10,0.98,8.60,101.00,78.00,0.30,0.41,31.02
Chhetrapati,Winter,Tap water,Treated,18.80,2.10,1.20,7.50,80.00,79.00,0.60,0.52,12.14
Chhetrapati,Winter,Tap water,Treated,17.90,1.20,1.30,7.60,69.00,83.00,0.20,0.61,12.14
Chhetrapati,Winter,Tap water,Treated,18.30,1.20,2.20,7.50,72.00,89.00,0.80,0.17,12.14
Tripureshwor,Winter,Tube-well,Un-treated,20.10,1.20,0.34,6.80,233.00,128.00,4.70,40.12,58.33
Tripureshwor,Winter,Tube-well,Un-treated,19.20,2.30,0.91,7.20,286.00,318.00,0.80,39.31,66.19
Tripureshwor,Winter,Tube-well,Un-treated,18.70,2.20,1.29,7.40,315.00,189.00,3.10,12.44,61.12
Tripureshwor,Winter,Tube-well,Un-treated,20.10,3.30,4.14,7.30,378.00,88.00,0.70,11.01,67.12
Tripureshwor,Winter,Tube-well,Un-treated,21.30,6.10,7.23,6.90,315.00,91.00,2.90,10.33,53.16
Tripureshwor,Winter,Tube-well,Un-treated,18.20,2.10,0.45,8.30,319.00,128.00,1.40,3.02,56.86
Tripureshwor,Winter,Tube-well,Un-treated,18.30,3.10,2.21,5.50,348.00,63.00,2.90,4.89,81.33
